Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_2090,c_11,c_4,c_4,c_9,0.9793,0.06500544
model_2091,c_4,c_10,m_2,c_5,0.9693,0.0978067
model_2092,c_11,c_12,c_3,c_6,0.9798,0.058177017
model_2093,c_4,m_1,c_4,c_1,0.9654,0.11456446
model_2094,c_8,c_11,c_12,c_10,0.9808,0.058983356
model_2095,c_4,m_1,c_4,c_12,0.9663,0.11441542
model_2096,c_7,c_11,m_2,c_4,0.9753,0.085467
model_2097,c_4,c_6,c_11,c_12,0.9808,0.05792753
model_2098,c_10,c_7,m_3,c_2,0.9727,0.095703475
model_2099,c_9,m_3,m_2,c_4,0.9416,0.22288522
model_2100,m_3,c_12,m_3,m_2,0.7877,0.74120814
model_2101,c_1,c_10,c_7,m_3,0.9811,0.059583817
model_2102,c_11,c_3,c_9,s,0.9803,0.06189546
model_2103,c_3,c_1,c_3,c_8,0.9795,0.06643788
model_2104,c_6,c_11,c_7,m_3,0.9798,0.06039025
model_2105,c_8,c_3,c_5,c_1,0.981,0.060672607
model_2106,c_5,c_3,s,-,0.9764,0.07124184
model_2107,c_2,c_4,c_8,c_7,0.9796,0.061338115
