EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_265,c_10,c_10,c_7,s,0.7072,0.8545269935,model_594
episode_266,c_3,c_4,c_2,m_2,0.7082,0.8348408708,model_603
episode_267,c_5,m_2,c_9,m_2,0.7467,0.7750286433,model_960
episode_268,c_11,m_3,c_9,c_11,0.7567,0.7398401132,model_346
episode_269,c_4,c_9,c_4,c_12,0.7342,0.8088925929,model_433
episode_270,c_11,c_3,s,-,0.7029,0.8693831643,model_892
episode_270,c_11,c_3,s,-,0.7255,0.8000208246,model_1234
episode_270,c_11,c_3,s,-,0.7046,0.8794313765,model_1976
episode_271,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_272,c_6,c_6,c_11,c_10,0.7166,0.8451116946,model_1332
episode_273,c_5,c_10,c_3,c_12,0.7163,0.9440973538,model_44
episode_274,c_12,c_12,c_11,m_2,0.7476,0.7528800495,model_517
episode_275,c_12,c_5,c_9,s,0.7271,0.8067157066,model_617
episode_276,c_11,c_9,m_2,c_7,0.7235,0.8252062973,model_467
episode_277,c_6,c_7,c_2,c_5,0.7235,0.8489206846,model_172
episode_278,c_2,m_3,c_7,c_8,0.7466,0.753097322,model_214
episode_279,c_9,c_3,m_2,c_2,0.7471,0.7470782783,model_920
episode_280,c_6,c_1,m_2,c_8,0.7099,0.835666832,model_1261
episode_281,c_11,c_8,c_12,m_3,0.7432,0.7858569288,model_1714
episode_282,c_6,c_1,c_6,c_12,0.7364,0.784661207,model_112
episode_283,c_3,m_3,c_11,c_10,0.7195,0.8443382937,model_498
episode_284,c_11,m_2,c_1,c_10,0.768,0.7256743255,model_542
episode_285,c_10,c_8,m_2,c_4,0.6941,0.8685959763,model_131
episode_286,c_3,c_6,c_10,c_1,0.7332,0.8003782773,model_1973
episode_287,c_10,m_1,c_10,c_6,0.7624,0.7010786333,model_665
episode_288,c_11,c_8,c_12,c_7,0.7816,0.670923123,model_1011
episode_289,c_1,c_3,m_2,c_11,0.7583,0.7639938903,model_630
episode_290,c_9,c_5,c_2,m_1,0.7392,0.7744453037,model_1522
episode_291,c_11,c_9,c_10,c_6,0.7452,0.759698036,model_1842
episode_292,c_1,c_1,c_11,c_6,0.7271,0.8297973987,model_1594
episode_293,c_11,m_2,c_3,c_4,0.7394,0.76344312,model_509
episode_294,c_11,c_10,m_1,c_1,0.7302,0.8009351631,model_2042
episode_295,c_12,c_10,c_6,m_3,0.761,0.7030323519,model_20
